,0,1
164,2018-10-01 13:40:00,0
165,2018-10-01 13:45:00,0
166,2018-10-01 13:50:00,0
167,2018-10-01 13:55:00,0
168,2018-10-01 14:00:00,0
169,2018-10-01 14:05:00,0
170,2018-10-01 14:10:00,0
171,2018-10-01 14:15:00,0
172,2018-10-01 14:20:00,0
173,2018-10-01 14:25:00,0
174,2018-10-01 14:30:00,0
175,2018-10-01 14:35:00,3
176,2018-10-01 14:40:00,3
177,2018-10-01 14:45:00,3
178,2018-10-01 14:50:00,3
179,2018-10-01 14:55:00,3
180,2018-10-01 15:00:00,3
181,2018-10-01 15:05:00,3
182,2018-10-01 15:10:00,3
183,2018-10-01 15:15:00,3
184,2018-10-01 15:20:00,3
185,2018-10-01 15:25:00,3
186,2018-10-01 15:30:00,3
187,2018-10-01 15:35:00,3
188,2018-10-01 15:40:00,1
189,2018-10-01 15:45:00,3
190,2018-10-01 15:50:00,1
191,2018-10-01 15:55:00,1
192,2018-10-01 16:00:00,1
193,2018-10-01 16:05:00,1
194,2018-10-01 16:10:00,1
195,2018-10-01 16:15:00,1
196,2018-10-01 16:20:00,1
197,2018-10-01 16:25:00,1
198,2018-10-01 16:30:00,1
199,2018-10-01 16:35:00,1
200,2018-10-01 16:40:00,1
201,2018-10-01 16:45:00,1
202,2018-10-01 16:50:00,1
203,2018-10-01 16:55:00,1
204,2018-10-01 17:00:00,1
205,2018-10-01 17:05:00,1
206,2018-10-01 17:10:00,1
207,2018-10-01 17:15:00,1
208,2018-10-01 17:20:00,1
209,2018-10-01 17:25:00,1
210,2018-10-01 17:30:00,1
211,2018-10-01 17:35:00,1
212,2018-10-01 17:40:00,1
213,2018-10-01 17:45:00,1
214,2018-10-01 17:50:00,1
215,2018-10-01 17:55:00,4
216,2018-10-01 18:00:00,4
217,2018-10-01 18:05:00,4
218,2018-10-01 18:10:00,4
219,2018-10-01 18:15:00,4
220,2018-10-01 18:20:00,4
221,2018-10-01 18:25:00,4
222,2018-10-01 18:30:00,4
223,2018-10-01 18:35:00,4
224,2018-10-01 18:40:00,4
225,2018-10-01 18:45:00,4
226,2018-10-01 18:50:00,4
227,2018-10-01 18:55:00,4
228,2018-10-01 19:00:00,4
229,2018-10-01 19:05:00,4
230,2018-10-01 19:10:00,4
231,2018-10-01 19:15:00,4
232,2018-10-01 19:20:00,4
233,2018-10-01 19:25:00,4
234,2018-10-01 19:30:00,4
235,2018-10-01 19:35:00,4
236,2018-10-01 19:40:00,4
237,2018-10-01 19:45:00,4
238,2018-10-01 19:50:00,4
239,2018-10-01 19:55:00,4
240,2018-10-01 20:00:00,4
241,2018-10-01 20:05:00,4
242,2018-10-01 20:10:00,4
243,2018-10-01 20:15:00,4
244,2018-10-01 20:20:00,4
245,2018-10-01 20:25:00,4
246,2018-10-01 20:30:00,4
247,2018-10-01 20:35:00,4
248,2018-10-01 20:40:00,4
249,2018-10-01 20:45:00,4
250,2018-10-01 20:50:00,4
251,2018-10-01 20:55:00,4
252,2018-10-01 21:00:00,4
253,2018-10-01 21:05:00,4
254,2018-10-01 21:10:00,4
255,2018-10-01 21:15:00,4
256,2018-10-01 21:20:00,4
257,2018-10-01 21:25:00,4
258,2018-10-01 21:30:00,4
259,2018-10-01 21:35:00,4
260,2018-10-01 21:40:00,4
261,2018-10-01 21:45:00,4
262,2018-10-01 21:50:00,4
263,2018-10-01 21:55:00,4
264,2018-10-01 22:00:00,4
265,2018-10-01 22:05:00,4
266,2018-10-01 22:10:00,4
267,2018-10-01 22:15:00,4
268,2018-10-01 22:20:00,4
269,2018-10-01 22:25:00,4
270,2018-10-01 22:30:00,4
271,2018-10-01 22:35:00,4
272,2018-10-01 22:40:00,4
273,2018-10-01 22:45:00,4
274,2018-10-01 22:50:00,4
275,2018-10-01 22:55:00,4
276,2018-10-01 23:00:00,4
277,2018-10-01 23:05:00,4
278,2018-10-01 23:10:00,4
279,2018-10-01 23:15:00,4
280,2018-10-01 23:20:00,4
281,2018-10-01 23:25:00,4
282,2018-10-01 23:30:00,4
283,2018-10-01 23:35:00,4
284,2018-10-01 23:40:00,4
285,2018-10-01 23:45:00,4
286,2018-10-01 23:50:00,1
287,2018-10-01 23:55:00,1
288,2018-10-02 00:00:00,1
289,2018-10-02 00:05:00,1
290,2018-10-02 00:10:00,1
291,2018-10-02 00:15:00,1
292,2018-10-02 00:20:00,1
293,2018-10-02 00:25:00,1
294,2018-10-02 00:30:00,1
295,2018-10-02 00:35:00,1
296,2018-10-02 00:40:00,1
297,2018-10-02 00:45:00,3
298,2018-10-02 00:50:00,3
299,2018-10-02 00:55:00,3
300,2018-10-02 01:00:00,3
301,2018-10-02 01:05:00,3
302,2018-10-02 01:10:00,3
303,2018-10-02 01:15:00,3
304,2018-10-02 01:20:00,3
305,2018-10-02 01:25:00,3
306,2018-10-02 01:30:00,3
307,2018-10-02 01:35:00,3
308,2018-10-02 01:40:00,3
309,2018-10-02 01:45:00,3
310,2018-10-02 01:50:00,3
311,2018-10-02 01:55:00,3
312,2018-10-02 02:00:00,3
313,2018-10-02 02:05:00,3
314,2018-10-02 02:10:00,3
315,2018-10-02 02:15:00,3
316,2018-10-02 02:20:00,3
317,2018-10-02 02:25:00,3
318,2018-10-02 02:30:00,3
319,2018-10-02 02:35:00,3
320,2018-10-02 02:40:00,3
321,2018-10-02 02:45:00,3
322,2018-10-02 02:50:00,0
323,2018-10-02 02:55:00,0
324,2018-10-02 03:00:00,0
325,2018-10-02 03:05:00,0
326,2018-10-02 03:10:00,0
327,2018-10-02 03:15:00,0
328,2018-10-02 03:20:00,0
329,2018-10-02 03:25:00,0
330,2018-10-02 03:30:00,0
331,2018-10-02 03:35:00,0
332,2018-10-02 03:40:00,0
333,2018-10-02 03:45:00,0
334,2018-10-02 03:50:00,0
335,2018-10-02 03:55:00,0
336,2018-10-02 04:00:00,0
337,2018-10-02 04:05:00,0
338,2018-10-02 04:10:00,0
339,2018-10-02 04:15:00,0
340,2018-10-02 04:20:00,0
341,2018-10-02 04:25:00,0
342,2018-10-02 04:30:00,0
343,2018-10-02 04:35:00,0
344,2018-10-02 04:40:00,0
345,2018-10-02 04:45:00,0
346,2018-10-02 04:50:00,0
347,2018-10-02 04:55:00,0
348,2018-10-02 05:00:00,0
349,2018-10-02 05:05:00,0
350,2018-10-02 05:10:00,0
351,2018-10-02 05:15:00,0
352,2018-10-02 05:20:00,0
353,2018-10-02 05:25:00,0
354,2018-10-02 05:30:00,0
355,2018-10-02 05:35:00,0
356,2018-10-02 05:40:00,0
357,2018-10-02 05:45:00,0
358,2018-10-02 05:50:00,0
359,2018-10-02 05:55:00,0
360,2018-10-02 06:00:00,0
361,2018-10-02 06:05:00,6
362,2018-10-02 06:10:00,6
363,2018-10-02 06:15:00,6
364,2018-10-02 06:20:00,6
365,2018-10-02 06:25:00,6
366,2018-10-02 06:30:00,6
367,2018-10-02 06:35:00,6
368,2018-10-02 06:40:00,2
369,2018-10-02 06:45:00,2
370,2018-10-02 06:50:00,2
371,2018-10-02 06:55:00,2
372,2018-10-02 07:00:00,2
373,2018-10-02 07:05:00,2
374,2018-10-02 07:10:00,2
375,2018-10-02 07:15:00,2
376,2018-10-02 07:20:00,2
377,2018-10-02 07:25:00,2
378,2018-10-02 07:30:00,2
379,2018-10-02 07:35:00,2
380,2018-10-02 07:40:00,2
381,2018-10-02 07:45:00,2
382,2018-10-02 07:50:00,2
383,2018-10-02 07:55:00,2
384,2018-10-02 08:00:00,2
385,2018-10-02 08:05:00,2
386,2018-10-02 08:10:00,2
387,2018-10-02 08:15:00,2
388,2018-10-02 08:20:00,2
389,2018-10-02 08:25:00,2
390,2018-10-02 08:30:00,2
391,2018-10-02 08:35:00,2
